Handwriting_Sample,Writing_Speed_wpm,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Gender,Age,Feature_Slant angle of handwriting,Feature_Letter spacing consistency,Feature_Letter spacing consistency,Feature_Line alignment (straight or curved writing),Feature_Loop formation in letters,Feature_Stroke smoothness,Feature_Word spacing variability,Feature_Letter size consistency,Feature_Pen lift frequency,Feature_Overall legibility score,Feature_Cursive vs. print writing tendency,Feature_Speed fluctuations (within a single sentence),Feature_Pen tilt direction,Feature_Ink darkness variation,Feature_Number of strokes per letter
sample_11.jpg,27,0.729867668,0.670601519,0.650092053,0.840329189,0.548432822,Female,48,0.453004673,0.229974654,0.547351514,0.429596616,0.18111975,0.486111787,0.159907727,0.348855661,0.207259678,0.712315187,0.389513314,0.181214366,0.913118557,0.243177207,0.996151164
sample_12.jpg,32,0.534690424,0.067352231,0.295615075,0.769466925,0.783839364,Other,34,0.238454202,0.582237556,0.453106901,0.81092016,0.398103088,0.134230743,0.270172645,0.507706786,0.929044755,0.589463252,0.960296768,0.521961097,0.193971559,0.216210954,0.173221704
sample_13.jpg,18,0.181563864,0.384267515,0.07438899,0.016884588,0.513858364,Female,18,0.839647331,0.307272369,0.655684948,0.796230714,0.258289943,0.573827695,0.529146864,0.029254721,0.502612358,0.496482805,0.488246696,0.748326265,0.801693202,0.058133224,0.328989095
sample_14.jpg,29,0.398635524,0.044222054,0.433667561,0.469979613,0.899599095,Male,30,0.198490564,0.472093572,0.929542409,0.898389152,0.756080253,0.225383417,0.781491297,0.360848504,0.241586542,0.42947844,0.774074245,0.743108674,0.939745187,0.99269158,0.939867232
sample_15.jpg,30,0.344843741,0.533008838,0.21337136,0.251364958,0.015391262,Other,54,0.075372122,0.159104736,0.794179794,0.706974796,0.637301896,0.497965665,0.398748885,0.005399225,0.947687759,0.055997412,0.577888969,0.128135533,0.227418241,0.160740853,0.268646253
sample_16.jpg,25,0.769542006,0.723841035,0.265537782,0.733381354,0.042158581,Female,44,0.119443462,0.493203138,0.350879999,0.806767466,0.098012664,0.054200918,0.558388974,0.445560059,0.819296575,0.978496989,0.178547207,0.275566717,0.391353213,0.081150775,0.096820871
sample_17.jpg,26,0.473531986,0.044234651,0.920673908,0.37880139,0.167481738,Female,27,0.877702605,0.882277118,0.060448856,0.291235779,0.295833251,0.771443975,0.450565649,0.560608007,0.391405013,0.392220523,0.933465724,0.984961868,0.83798237,0.843934536,0.200706416
sample_18.jpg,20,0.076116877,0.839055176,0.863435784,0.977037472,0.157786998,Female,32,0.866710992,0.149105703,0.100093518,0.744121999,0.83531732,0.890924462,0.43416973,0.569036408,0.527212269,0.126218429,0.537017835,0.056441914,0.903405118,0.8168842,0.655578647
sample_19.jpg,56,0.701529079,0.950533374,0.305547127,0.687242365,0.555783917,Male,33,0.60207621,0.758460339,0.641822845,0.024732459,0.605815248,0.47199749,0.387476388,0.976357567,0.038080088,0.321768729,0.264568564,0.565670684,0.433494129,0.206804912,0.890734705
sample_20.jpg,57,0.024135207,0.050687704,0.835027924,0.669566307,0.196173932,Other,54,0.769515264,0.210827475,0.438186057,0.14068627,0.333159027,0.900999644,0.152270745,0.567228401,0.761533125,0.455464825,0.331605487,0.0606954,0.628577015,0.930777436,0.966425162
sample_21.jpg,34,0.684371671,0.076826629,0.264683255,0.343674191,0.43453493,Male,22,0.609667436,0.076486457,0.513504168,0.932520254,0.900793177,0.664095365,0.404009148,0.883566057,0.075303512,0.289437307,0.950793154,0.734667246,0.721987796,0.584979778,0.092800389
sample_22.jpg,46,0.602860937,0.731948621,0.781456872,0.085050052,0.226912719,Male,46,0.180184162,0.820964563,0.792121026,0.109332322,0.185307545,0.72195735,0.349902313,0.312853006,0.712923581,0.757873051,0.928270437,0.319018544,0.258745687,0.280818061,0.085266092
sample_23.jpg,45,0.686177058,0.134493548,0.791860042,0.241765899,0.375291229,Female,28,0.630642389,0.785554954,0.916293335,0.896583354,0.706120494,0.487147384,0.554743129,0.232632694,0.261739105,0.891266417,0.326447924,0.838332114,0.514313078,0.98664831,0.829271248
sample_24.jpg,44,0.862360006,0.513772923,0.605529429,0.133465785,0.388777904,Other,35,0.948391771,0.660789528,0.14272638,0.596054082,0.474026369,0.25511346,0.115964271,0.051313317,0.063406823,0.270172748,0.688687784,0.156582158,0.983483998,0.483381569,0.930129278
sample_25.jpg,16,0.298692779,0.568428592,0.709378878,0.777676621,0.158057428,Other,22,0.980103089,0.551003757,0.764509054,0.283507355,0.017221053,0.665717088,0.704492397,0.112218774,0.661961054,0.897917532,0.382890545,0.313691808,0.155531095,0.851675823,0.696027219
sample_26.jpg,48,0.683086378,0.023736261,0.819246564,0.096438002,0.330552654,Female,41,0.426512755,0.589968794,0.708881314,0.477818575,0.53262412,0.563943415,0.670934741,0.687579763,0.114803034,0.581429391,0.035150834,0.092070278,0.283690014,0.832043346,0.476245219
sample_27.jpg,26,0.382834665,0.988445347,0.507630334,0.471670995,0.472297573,Male,51,0.429670999,0.701674006,0.854117289,0.527686528,0.354407722,0.081229557,0.081950823,0.446100831,0.34496846,0.560570636,0.856303497,0.715283172,0.898327205,0.341176904,0.973360563
sample_28.jpg,42,0.359685882,0.040744288,0.244235603,0.437718584,0.356634482,Female,56,0.131611966,0.897211353,0.018952006,0.291105068,0.906225149,0.725648373,0.625586535,0.481757362,0.361095283,0.621752846,0.030368855,0.439912177,0.685707009,0.102763291,0.152227453
sample_29.jpg,29,0.642021292,0.36216199,0.898391322,0.05160974,0.471351324,Male,46,0.125314377,0.654787877,0.672686758,0.015536972,0.619934037,0.523248682,0.66176195,0.504921903,0.626129887,0.914743932,0.153463476,0.546925203,0.732287697,0.647475051,0.122060897
sample_30.jpg,12,0.718422776,0.461373422,0.802318833,0.195066752,0.355950898,Female,44,0.564275348,0.516166706,0.152263216,0.697317309,0.21569229,0.510223505,0.946502901,0.270946318,0.18745614,0.072942164,0.367534986,0.050090341,0.958891001,0.842809759,0.083640307
sample_31.jpg,56,0.396227458,0.029436695,0.291944976,0.540647686,0.550274707,Female,29,0.316280562,0.281739976,0.758395698,0.093311554,0.21848568,0.792835224,0.317591293,0.887884843,0.757533609,0.19583665,0.302100775,0.33094253,0.904559909,0.78718848,0.913159222
sample_32.jpg,34,0.320106371,0.336173787,0.952413354,0.627865197,0.497647129,Female,32,0.82411346,0.4735618,0.596239052,0.053721335,0.483550524,0.424255258,0.700156854,0.834110408,0.044594158,0.365464999,0.961933473,0.662118486,0.355049463,0.954091944,0.366497428
sample_33.jpg,27,0.801696082,0.96092537,0.593657478,0.651735979,0.532418119,Female,23,0.028288374,0.88126286,0.754384592,0.531684538,0.784762914,0.864356351,0.453570859,0.150080629,0.003864478,0.908386637,0.360754365,0.305015859,0.424389858,0.180462998,0.805122526
sample_34.jpg,56,0.964465167,0.763075985,0.229065692,0.692035284,0.669497777,Other,41,0.885657119,0.783762129,0.116733836,0.831671415,0.485988034,0.470351494,0.460095839,0.176449649,0.879115384,0.257132938,0.811307542,0.752340986,0.928782781,0.928914822,0.301996814
sample_35.jpg,13,0.163650983,0.673517603,0.778645162,0.096592266,0.527247329,Other,24,0.850614988,0.014747275,0.703051794,0.113044284,0.903970055,0.304715924,0.162752859,0.430922082,0.121356544,0.528092063,0.466707341,0.775237707,0.702197805,0.872244992,0.909542787
sample_36.jpg,43,0.442766194,0.392678753,0.207890776,0.788456025,0.906869626,Male,59,0.886868433,0.504031345,0.295470693,0.182990458,0.668618099,0.764588594,0.42770911,0.960322594,0.434132366,0.822571323,0.501863886,0.323817672,0.411537424,0.62429603,0.783980706
sample_37.jpg,43,0.080767243,0.565488716,0.064104936,0.483700432,0.087762931,Male,57,0.334518628,0.280212529,0.693508746,0.180020686,0.951587716,0.953703777,0.188918569,0.08003956,0.321261971,0.074025831,0.585395158,0.41039871,0.51554554,0.417147466,0.013595672
sample_38.jpg,27,0.839600949,0.56173213,0.395397921,0.033685957,0.044567813,Female,54,0.34987633,0.9318665,0.287941731,0.407694571,0.388344292,0.865842099,0.08098751,0.721837295,0.897422213,0.719235376,0.578120472,0.981078051,0.655424878,0.486064987,0.67434874
sample_39.jpg,11,0.900409827,0.488797267,0.727910317,0.530680165,0.887432146,Male,45,0.384878325,0.248774759,0.741351783,0.408829061,0.285851432,0.735444918,0.648697372,0.528999697,0.250786283,0.567837645,0.044856171,0.93681558,0.994895014,0.094101544,0.90723824
sample_40.jpg,47,0.290405244,0.718910711,0.77775599,0.439937158,0.349588043,Other,24,0.288375889,0.905908326,0.688562057,0.812759252,0.588242131,0.773895592,0.544287368,0.259808834,0.6401896,0.548699962,0.170758309,0.223627813,0.846993609,0.791349132,0.7939528
sample_41.jpg,32,0.048543987,0.025912431,0.021416691,0.92134754,0.519921706,Other,42,0.745648315,0.364728708,0.949699863,0.646442839,0.32019704,0.234381354,0.917854237,0.467742496,0.456673807,0.852643506,0.303990618,0.767620812,0.885641476,0.749805309,0.260248595
sample_42.jpg,23,0.955934124,0.918466836,0.657296535,0.861307172,0.485820731,Male,57,0.103437543,0.42087342,0.843685459,0.151601765,0.125954629,0.026869938,0.547242244,0.175507529,0.488416437,0.360665148,0.252170791,0.867827777,0.377203643,0.525406325,0.922724647
sample_43.jpg,46,0.709156836,0.431108969,0.98377182,0.927231058,0.515424331,Male,46,0.443424967,0.714548169,0.214791882,0.797329335,0.788858024,0.429225465,0.173882858,0.104420302,0.66861849,0.81072955,0.832286234,0.020289673,0.383564933,0.652836914,0.75304666
sample_44.jpg,53,0.491072469,0.784476154,0.792195689,0.41377339,0.726597822,Other,30,0.196331225,0.327598808,0.837641661,0.453688768,0.810939679,0.824806249,0.631395201,0.759781563,0.061836365,0.13421519,0.996988969,0.590109169,0.940754597,0.295477629,0.677773177
sample_45.jpg,39,0.474020746,0.684744817,0.859591538,0.792138885,0.458999099,Male,20,0.902093025,0.376733594,0.529727087,0.896350109,0.718877829,0.613866888,0.770907957,0.566345538,0.900072343,0.926289133,0.105027825,0.817586652,0.207045277,0.037921863,0.362585982
sample_46.jpg,49,0.172054365,0.546841627,0.58233716,0.282541818,0.099793381,Female,54,0.370603636,0.280728999,0.784787201,0.169554382,0.951926448,0.760037621,0.492128463,0.083568915,0.887204629,0.159166077,0.398332306,0.573843976,0.793185076,0.209576655,0.613960677
sample_47.jpg,11,0.629046725,0.334427055,0.267605279,0.931704755,0.873982212,Male,53,0.95401606,0.213006821,0.073027253,0.914430571,0.347094305,0.487195505,0.934019283,0.238430932,0.016067021,0.477629374,0.437098738,0.065158837,0.822537514,0.328135877,0.857832708
sample_48.jpg,60,0.743867534,0.799566226,0.367781783,0.444853314,0.765351952,Other,39,0.622605016,0.937611407,0.888129982,0.216257786,0.875848208,0.65777038,0.502520284,0.540127624,0.449261876,0.744906336,0.08108709,0.893834453,0.145318098,0.445891739,0.165133598
sample_49.jpg,41,0.782352009,0.840537328,0.567395186,0.468776442,0.875225088,Female,55,0.913804766,0.666277034,0.378135631,0.845900886,0.467885001,0.226471607,0.546822328,0.9560972,0.090390366,0.921199384,0.018264233,0.079088223,0.363882898,0.756472027,0.977596786
sample_50.jpg,53,0.158748794,0.324195996,0.439523891,0.875153751,0.68574796,Female,44,0.177162233,0.086281831,0.630544201,0.740461833,0.891670051,0.963376433,0.182805513,0.868952769,0.664068628,0.270522183,0.469068485,0.759516963,0.508645166,0.137567662,0.418258869
sample_51.jpg,46,0.121754532,0.899792369,0.928963692,0.331872101,0.679818795,Female,43,0.332388757,0.073035541,0.245533276,0.422377866,0.58717698,0.995523366,0.456882285,0.758921525,0.960502331,0.659847919,0.971980748,0.283576788,0.443500156,0.042099671,0.93430054
sample_52.jpg,58,0.44546909,0.395262006,0.754518522,0.799118501,0.665835984,Female,35,0.187458936,0.690229501,0.33544678,0.093338492,0.703369113,0.617675628,0.289071387,0.542408974,0.581976658,0.753928057,0.071563993,0.925551617,0.236307069,0.75994113,0.949491209
sample_53.jpg,52,0.989938078,0.933686311,0.95597,0.073252389,0.28424928,Male,48,0.686977047,0.961872757,0.795725265,0.940490439,0.879790138,0.464619839,0.208453828,0.510670581,0.066965746,0.647873622,0.385151328,0.078664368,0.07197172,0.285495586,0.329202979
sample_54.jpg,40,0.516743415,0.848704108,0.926203846,0.132489658,0.999998716,Female,22,0.348637242,0.713806008,0.925062729,0.924101954,0.446473796,0.164516227,0.217118605,0.285639813,0.223739969,0.05131181,0.879384933,0.490154359,0.68846257,0.992389535,0.098653243
sample_55.jpg,35,0.619166146,0.415978507,0.857628857,0.213490756,0.050566632,Male,45,0.247350974,0.899549366,0.97828336,0.233078084,0.151382027,0.624983353,0.115797236,0.913494922,0.132022069,0.259212042,0.185318433,0.703735144,0.809081318,0.606951312,0.039316947
sample_56.jpg,41,0.430952989,0.721390103,0.185652031,0.900834501,0.981678243,Other,30,0.171233312,0.953143629,0.770420972,0.017155472,0.197284345,0.299152325,0.787346788,0.776826812,0.619768331,0.721799907,0.061190315,0.579996351,0.66853883,0.311959398,0.571708185
sample_57.jpg,14,0.461158916,0.686238986,0.496790571,0.047026813,0.598457864,Male,39,0.196840223,0.069124926,0.453028586,0.733458923,0.601682228,0.086394388,0.135260731,0.280108309,0.796656534,0.369156404,0.700554501,0.532087293,0.695168443,0.661318996,0.554510215
sample_58.jpg,34,0.679089995,0.024369429,0.380112445,0.788410891,0.897119631,Female,18,0.629238778,0.634335083,0.849474154,0.296207634,0.945199569,0.509644729,0.671584541,0.904191231,0.381479345,0.861088828,0.587593198,0.607959276,0.559235283,0.931723503,0.876907029
sample_59.jpg,41,0.868152664,0.447271352,0.896403399,0.926226714,0.066809905,Male,23,0.315409623,0.775549224,0.010559013,0.392450735,0.022498389,0.288749052,0.943892722,0.151819801,0.393861253,0.165379068,0.280662753,0.744649624,0.223331946,0.440725159,0.018084778
sample_60.jpg,21,0.608247304,0.699388176,0.714691621,0.82105363,0.68901574,Other,28,0.890548689,0.619126137,0.234216827,0.269252714,0.874553127,0.50704425,0.528591164,0.722897604,0.154301239,0.842320573,0.147953502,0.766372783,0.2138458,0.683162261,0.469490404
sample_61.jpg,51,0.608220521,0.075753902,0.396863874,0.585418485,0.183363776,Male,49,0.10473048,0.679959267,0.574183408,0.91886631,0.282241993,0.609611779,0.882456084,0.876508714,0.479882773,0.964314338,0.499906452,0.044980352,0.439974154,0.859689711,0.197056511
sample_62.jpg,29,0.274160486,0.172695412,0.036830682,0.104665205,0.403319575,Male,18,0.372290235,0.246705844,0.49629892,0.357480616,0.153546486,0.187410909,0.112858114,0.451188888,0.250906733,0.35174371,0.418822046,0.651440699,0.742458682,0.97433564,0.141818282
sample_63.jpg,21,0.19514273,0.112180253,0.680546551,0.268340009,0.352962183,Male,27,0.311878237,0.102865237,0.218674752,0.541047329,0.424433708,0.067901058,0.653378125,0.415753299,0.146182659,0.423096643,0.264348677,0.67156723,0.358735474,0.814495838,0.189019702
sample_64.jpg,24,0.015263195,0.471957834,0.13808738,0.747686025,0.953384297,Female,20,0.43004273,0.609879728,0.283629725,0.922203033,0.034763521,0.663928832,0.586475361,0.805317153,0.460277177,0.004225184,0.72917102,0.547445113,0.415284288,0.149831744,0.311741173
sample_65.jpg,60,0.56812166,0.085051881,0.191030926,0.647075429,0.878545438,Female,25,0.214886914,0.936056554,0.90290706,0.913813121,0.191111104,0.531119916,0.389691639,0.549824026,0.487645782,0.297407674,0.416048443,0.706306383,0.127939033,0.790503014,0.640247643
sample_66.jpg,23,0.480910721,0.151084783,0.99682961,0.127424731,0.48754562,Female,20,0.877363233,0.295432591,0.091576204,0.91419881,0.697887814,0.363383178,0.028247165,0.510463822,0.141430539,0.350801617,0.459821413,0.7627424,0.701764578,0.555340946,0.092252702
sample_67.jpg,36,0.22653352,0.953382747,0.131825821,0.157315824,0.976892104,Other,39,0.491652098,0.306480873,0.891268009,0.111574923,0.526131001,0.261220821,0.821937417,0.457513753,0.836732546,0.732803809,0.722973572,0.824307499,0.148177112,0.553553502,0.375200875
sample_68.jpg,16,0.353981571,0.846510492,0.285389335,0.437283294,0.422042062,Male,41,0.278048802,0.808060918,0.157483357,0.063209435,0.088628526,0.433454832,0.473796551,0.454658608,0.368941039,0.276755998,0.656229849,0.626829644,0.436802676,0.892625318,0.745337527
sample_69.jpg,48,0.591214669,0.297238287,0.031499302,0.897372377,0.032874726,Other,56,0.49192703,0.220428152,0.55996861,0.403645356,0.871117766,0.596368998,0.4044759,0.747334401,0.045631681,0.116118914,0.258677172,0.862740162,0.203893321,0.702198106,0.853142429
sample_70.jpg,48,0.681273851,0.152684739,0.920066288,0.253306741,0.642103787,Female,21,0.233132263,0.178456165,0.353821972,0.522361531,0.686333843,0.503854367,0.118696941,0.350072218,0.679244943,0.145726763,0.055969791,0.178478071,0.096831694,0.151181779,0.94759696
sample_71.jpg,16,0.600661787,0.211729362,0.904895155,0.558757626,0.357926928,Female,55,0.246464583,0.97474275,0.747567785,0.692483127,0.291959286,0.119261562,0.454452832,0.548290252,0.153268673,0.478152866,0.814626363,0.424578763,0.779476163,0.059413664,0.851578594
sample_72.jpg,14,0.421301749,0.627174954,0.21473401,0.017360742,0.71702566,Female,19,0.339438666,0.237159747,0.138572754,0.730464977,0.138667145,0.711478901,0.686785219,0.843945716,0.804268916,0.373195695,0.952072753,0.771997114,0.047508809,0.015052673,0.912176632
sample_73.jpg,31,0.30381399,0.943482218,0.52258756,0.698831734,0.067455151,Female,36,0.328751093,0.250743511,0.450909163,0.008765035,0.031242509,0.060449097,0.232129334,0.412575897,0.215379674,0.00669137,0.0629237,0.202958157,0.867075628,0.135195734,0.644233106
sample_74.jpg,31,0.954744696,0.99088086,0.336100084,0.161189576,0.013860777,Other,20,0.244849613,0.399142794,0.165476692,0.731312282,0.400749766,0.874357551,0.17621365,0.513643705,0.607697099,0.201725129,0.13502625,0.70510518,0.083618616,0.985684742,0.642004747
sample_75.jpg,41,0.001048824,0.305774047,0.654861136,0.879340893,0.091057923,Female,51,0.207878538,0.520907236,0.526985107,0.395083694,0.283722834,0.003124712,0.402886227,0.678251532,0.238153275,0.600976076,0.708415363,0.635743222,0.525016054,0.285489081,0.508745172
sample_76.jpg,21,0.443484011,0.864253528,0.377801637,0.265739023,0.343845328,Female,44,0.25518641,0.361772913,0.849013779,0.44808526,0.74934028,0.606731628,0.731152595,0.760184824,0.760182675,0.951050878,0.598744664,0.095326521,0.281565903,0.013623509,0.043799406
sample_77.jpg,46,0.450125603,0.289826533,0.48368337,0.122730615,0.873483166,Female,40,0.494146936,0.067666727,0.034557026,0.086885692,0.466074491,0.872774806,0.780203663,0.28314008,0.043817184,0.016375935,0.816597439,0.890627472,0.09710025,0.024600415,0.176042669
sample_78.jpg,13,0.158722728,0.370281916,0.349789356,0.167435497,0.871944405,Other,59,0.505452699,0.684984132,0.151598613,0.172662765,0.123515245,0.126804862,0.420943951,0.962508563,0.917884555,0.325226605,0.81467116,0.026828723,0.76259994,0.77843303,0.52838159
sample_79.jpg,19,0.737170149,0.05676022,0.330624818,0.690228324,0.479069738,Female,52,0.800756546,0.940158662,0.394269571,0.616384888,0.128266888,0.012127061,0.66076669,0.353113768,0.274654684,0.406419043,0.484796952,0.604965392,0.272950384,0.665591218,0.027369291
sample_80.jpg,46,0.844852989,0.395054225,0.537188992,0.391220238,0.973571721,Male,40,0.304289905,0.91531265,0.084052695,0.333557334,0.684115332,0.700083421,0.348686378,0.174823383,0.924271577,0.221876887,0.470972499,0.323585053,0.373138055,0.481868744,0.818397054
sample_81.jpg,22,0.287028257,0.025542183,0.369424696,0.842368579,0.332201802,Other,44,0.170085181,0.440274202,0.198890739,0.653026604,0.744232893,0.240073992,0.556848597,0.600537101,0.992355089,0.038429264,0.44896855,0.235747424,0.136857276,0.526742821,0.49480702
sample_82.jpg,56,0.581810352,0.098112076,0.640169152,0.701490768,0.09135245,Male,41,0.382117416,0.354070735,0.700225162,0.039977443,0.080538857,0.249111153,0.718347447,0.688937108,0.164291188,0.529503521,0.996459157,0.960635845,0.780107402,0.665220021,0.519658961
sample_83.jpg,10,0.114823011,0.431156782,0.812935362,0.216461991,0.917723461,Other,48,0.909929591,0.890179382,0.322217468,0.828190443,0.422877415,0.847526486,0.740824073,0.280898427,0.775490061,0.520929052,0.365124162,0.650575784,0.599462309,0.129503682,0.667016686
sample_84.jpg,49,0.933052533,0.505140706,0.126271983,0.820485374,0.562302286,Other,37,0.825440477,0.634964532,0.411857493,0.514574335,0.646444486,0.742112903,0.261467966,0.539341678,0.033065123,0.766093569,0.095953639,0.211100184,0.10432053,0.637873395,0.673786142
sample_85.jpg,59,0.442971885,0.07427012,0.265984743,0.726712836,0.157581449,Female,23,0.576147379,0.806133896,0.723582123,0.312025204,0.545192761,0.578758953,0.833071285,0.464202533,0.00674343,0.225722487,0.273157259,0.864228288,0.874159199,0.997804043,0.245284315
sample_86.jpg,57,0.064787012,0.96738037,0.695477611,0.343105266,0.481253463,Female,38,0.514747049,0.17764871,0.874080459,0.88277882,0.093642211,0.142777821,0.279833484,0.628855622,0.495934238,0.528917937,0.850863973,0.762955921,0.154249116,0.838680257,0.814026341
sample_87.jpg,19,0.97729502,0.00825767,0.818017607,0.465681217,0.903334361,Male,23,0.603060009,0.579581801,0.255154186,0.461473847,0.863882578,0.866111842,0.509767615,0.128045197,0.176332397,0.391924909,0.420489992,0.954794027,0.694985062,0.767433976,0.801950306
sample_88.jpg,44,0.057519329,0.819938575,0.2220859,0.752323121,0.381861108,Male,60,0.836632465,0.751158569,0.882872991,0.513730134,0.434963147,0.156522035,0.873747754,0.666140205,0.64126271,0.170407634,0.59471081,0.557335095,0.865926913,0.228423369,0.901732313
sample_89.jpg,59,0.511244944,0.651158082,0.438021899,0.209930209,0.504081602,Female,49,0.930716205,0.335421442,0.677877845,0.739847259,0.909370741,0.299468595,0.216729321,0.251324271,0.09967136,0.274682826,0.459938205,0.716933464,0.154672847,0.688310509,0.301484456
sample_90.jpg,31,0.550817485,0.8215876,0.181997191,0.922258594,0.442640002,Other,29,0.522582949,0.085917824,0.61061258,0.545368964,0.867664895,0.904576026,0.147077242,0.045575941,0.548675328,0.749546835,0.240591164,0.57709858,0.792478449,0.670732034,0.059968437
sample_91.jpg,20,0.730339622,0.467572065,0.441142927,0.765061687,0.290604554,Female,57,0.280623983,0.344084977,0.276938686,0.198758399,0.7937254,0.755540831,0.320627358,0.398701486,0.408361737,0.126476122,0.610538067,0.294174875,0.357229668,0.0125066,0.306308229
sample_92.jpg,42,0.779444587,0.098784502,0.557571013,0.10094072,0.692716832,Other,20,0.378415124,0.753213733,0.526000146,0.454090371,0.183091211,0.523842865,0.227472616,0.93590812,0.066387758,0.798013924,0.144549763,0.091365001,0.660262667,0.376850867,0.787232228
sample_93.jpg,16,0.340853182,0.860586266,0.271397863,0.988531969,0.521012191,Other,36,0.699740759,0.19654039,0.669763703,0.914883215,0.92378841,0.780453201,0.847708045,0.681564089,0.894216506,0.784916575,0.964227376,0.941536419,0.049049574,0.689229521,0.268727216
sample_94.jpg,36,0.600272493,0.256929889,0.385982151,0.844475691,0.830825239,Other,60,0.740398691,0.809168761,0.567712164,0.478253017,0.455845735,0.00784463,0.547131798,0.66144235,0.016301129,0.200251591,0.998114039,0.811236232,0.434606705,0.147408811,0.461795857
sample_95.jpg,24,0.163938423,0.442496794,0.1561289,0.734695611,0.447341324,Male,58,0.729759788,0.125852598,0.693201336,0.438275479,0.757997067,0.526429293,0.626363725,0.503413797,0.061153105,0.999238309,0.540579649,0.361648108,0.296265512,0.24641421,0.172810516
sample_96.jpg,22,0.344975091,0.196736447,0.281124627,0.884587723,0.681992982,Male,24,0.213646928,0.78814162,0.094030337,0.389778082,0.13580735,0.570565271,0.353363414,0.611519481,0.919147727,0.981100976,0.746801845,0.527366053,0.352754356,0.683184146,0.510046858
sample_97.jpg,52,0.6599961,0.464054798,0.259674062,0.637873331,0.170423314,Female,41,0.414879081,0.14944848,0.660014832,0.350455019,0.604110589,0.351443341,0.955883151,0.796595458,0.851391188,0.824415905,0.906360362,0.39957056,0.381502426,0.53228209,0.999198631
sample_98.jpg,40,0.147427657,0.024314331,0.764463338,0.455504692,0.521953522,Other,33,0.281809205,0.155396109,0.49248263,0.463455306,0.250173148,0.17565524,0.403481443,0.661484156,0.58941805,0.231276924,0.527635234,0.317877718,0.611545324,0.902160399,0.785484005
